GET http://localhost:8080/tienda1/index.jsp HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080, EA414B3E327DED6875848530C864BD8F, Connection: close
, , 1&nombre=Jam%F3n+Ib%E9rico&precio=39&cantidad=41&B1=A%F1adir+al+carrito HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080
54E25FF4B7F0E4E855B112F882E9EEA5, Connection: close, , , POST http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5
Accept-Language: en, Host: localhost:8080, 788887A0F479749C4CEEA1E268B4A501, Content-Type: application/x-www-form-urlencoded, Connection: close, Content-Length: 74, , 1&nombre=Jam%F3n+Ib%E9rico&precio=39&cantidad=41&B1=A%F1adir+al+carrito, , entrar&login=caria&pwd=egipciaca&remember=off&B1=Entrar HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko)
Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080, 94ECD5EE8EF7EFE4BB26C701B150ED7B, Connection: close, , 
POST http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080, 23391DBBADEC19FE01E02D201F278C6A, Content-Type: application/x-www-form-urlencoded
Connection: close, Content-Length: 60, , entrar&login=caria&pwd=egipciaca&remember=off&B1=Entrar, , 2 HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate
0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080, 98D39BB41546D2A0C7E89F02B01A97F8, Connection: close, , , POST http://localhost:8080/tienda1/publico/caracteristicas.jsp HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache
0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080, FED1AE17BB73232DE364A4DF3B701615, Content-Type: application/x-www-form-urlencoded, Connection: close, Content-Length: 4, , 2
, GET http://localhost:8080/tienda1/publico/carrito.jsp HTTP/1.1, User-Agent: Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko), Pragma: no-cache, Cache-control: no-cache, 0.9,text/plain;q=0.8,image/png,*/*;q=0.5, Accept-Encoding: x-gzip, x-deflate, gzip, deflate, 0.5, *;q=0.5, Accept-Language: en, Host: localhost:8080, CBAFAE97F1CE14D899201A5E2C5BE9BD
